zone_id,timestamp,anomaly_score,is_disruption,predicted_surge_pct,affected_line,cascade_zone_ids,time_to_peak_min,z_subway,z_pickups,taxi_pickups,subway_ridership,bike_starts
217,2023-01-31 23:00:00,0.40128536848267266,0,0,-,,0,-0.3549707440658193,2.736988622440289,2.0,6100.0,0
218,2023-01-31 23:00:00,0.10015803819634202,0,0,-,,0,-0.6009482291780521,0.0,0.0,3336.0,0
219,2023-01-31 23:00:00,0.18461602878286404,0,0,-,,0,-0.6009482291780521,-0.6756639246921762,0.0,3336.0,0
220,2023-01-31 23:00:00,0.0422539082639029,0,0,-,,0,0.09362291231670956,-0.21320071635561044,0.0,1736.0,0
221,2023-01-31 23:00:00,0.07686548728356261,0,0,-,,0,-0.4611929237013757,0.0,0.0,53.0,0
222,2023-01-31 23:00:00,0.09778143946846934,0,0,-,,0,-0.3549707440658193,-0.30895719032666236,0.0,6100.0,0
223,2023-01-31 23:00:00,0.1744633809095169,0,0,-,,0,-0.6009482291780521,-0.5944427417053992,0.0,3336.0,0
224,2023-01-31 23:00:00,0.07192842492318137,0,0,-,,0,-0.40029727206844906,-0.041697703294185554,3.0,26648.0,0
225,2023-01-31 23:00:00,0.1253939419409208,0,0,-,,0,-0.3549707440658193,-0.5298572101062741,0.0,6100.0,0
226,2023-01-31 23:00:00,0.1504390598080001,0,0,-,,0,-0.6009482291780521,0.4022481728932646,3.0,3336.0,0
227,2023-01-31 23:00:00,0.05916179067763655,0,0,-,,0,-0.3549707440658193,0.0,0.0,6100.0,0
228,2023-01-31 23:00:00,0.3182302705680456,0,0,-,,0,-0.3549707440658193,2.0725478391232723,1.0,6100.0,0
229,2023-01-31 23:00:00,0.12524093501195968,0,0,-,,0,-0.40029727206844906,-0.4681977840044121,48.0,26648.0,12
230,2023-01-31 23:00:00,0.11209177317423796,0,0,-,,0,-0.40029727206844906,-0.3630044893026383,140.0,26648.0,35
231,2023-01-31 23:00:00,0.10671606771805092,0,0,-,,0,-0.40029727206844906,-0.3199988456531419,44.0,26648.0,11
232,2023-01-31 23:00:00,0.12707431059725743,0,0,-,,0,-0.40029727206844906,-0.482864788686794,4.0,26648.0,1
233,2023-01-31 23:00:00,0.1754787352144419,0,0,-,,0,-0.40029727206844906,-0.8701001856242699,15.0,26648.0,3
234,2023-01-31 23:00:00,0.06804864819421419,0,0,-,,0,-0.40029727206844906,-0.010659489462448131,108.0,26648.0,27
235,2023-01-31 23:00:00,0.015603818719451594,0,0,-,,0,0.09362291231670956,0.0,0.0,1736.0,0
236,2023-01-31 23:00:00,0.15823139091606742,0,0,-,,0,-0.40029727206844906,-0.7321214312372739,24.0,26648.0,6
237,2023-01-31 23:00:00,0.10470224838575956,0,0,-,,0,-0.40029727206844906,-0.303888290994811,77.0,26648.0,19
238,2023-01-31 23:00:00,0.11818468456444295,0,0,-,,0,-0.40029727206844906,-0.4117477804242781,24.0,26648.0,6
